"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Kevin Pillar","Blue Jays","146","548","584","146","102","35","2","7","59","53","24","0","90","6","3","3","12","14","6",".266","12434"
"Denard Span","Giants","143","572","637","152","113","23","5","11","70","53","53","2","79","4","2","6","8","12","7",".266","8347"
"Marcell Ozuna","Marlins","148","557","608","148","96","23","6","23","75","76","43","2","115","4","4","0","11","0","3",".266","10324"
"Nomar Mazara","Rangers","145","516","568","137","101","13","3","20","59","64","39","1","112","6","7","0","12","0","2",".266","14553"
"Adam Jones","Orioles","152","619","672","164","116","19","0","29","86","83","39","2","115","5","8","1","13","2","0",".265","6368"
"Jacoby Ellsbury","Yankees","148","551","626","145","107","24","5","9","71","56","54","1","84","2","3","4","11","20","8",".263","4727"
"Brett Gardner","Yankees","148","547","634","143","108","22","6","7","80","41","70","0","106","8","5","4","6","16","4",".261","9927"
"George Springer","Astros","162","644","744","168","105","29","5","29","116","82","88","2","178","11","1","0","12","9","10",".261","12856"
"Gregory Polanco","Pirates","144","527","587","136","76","34","4","22","79","86","53","6","119","0","6","1","13","17","6",".258","12907"
"Mark Trumbo","Orioles","159","613","667","157","82","27","1","47","94","108","51","1","170","3","0","0","14","2","0",".256","6876"
"Andrew McCutchen","Pirates","153","598","675","153","100","26","3","24","81","79","69","7","143","5","3","0","15","6","7",".256","9847"
"Howie Kendrick","Dodgers","146","487","543","124","88","26","2","8","65","40","50","2","96","3","3","0","20","10","2",".255","4229"
"Michael Saunders","Blue Jays","140","490","558","124","65","32","3","24","70","57","59","2","157","5","3","1","14","1","2",".253","9981"
"Jay Bruce","- - -","147","539","589","135","69","27","6","33","74","99","44","7","126","3","3","0","14","4","2",".250","9892"
"Leonys Martin","Mariners","143","518","576","128","93","17","3","15","72","47","44","0","149","3","7","4","10","24","6",".247","11846"
"Khris Davis","Athletics","150","555","610","137","69","24","2","42","85","102","42","0","166","8","5","0","19","1","2",".247","9112"
"Justin Upton","Tigers","153","570","626","140","79","28","2","31","81","87","50","3","179","4","2","0","15","9","4",".246","5222"
"Corey Dickerson","Rays","148","510","548","125","62","36","3","24","57","70","33","6","134","2","2","0","12","0","2",".245","10762"
"Jayson Werth","Nationals","143","525","606","128","79","28","0","21","84","69","71","0","139","4","6","0","17","5","1",".244","1327"
"Bryce Harper","Nationals","147","506","627","123","73","24","2","24","84","86","108","20","117","3","10","0","11","21","10",".243","11579"
"Adam Duvall","Reds","150","552","608","133","63","31","6","33","85","103","41","1","164","6","8","0","7","6","5",".241","10950"
"Melvin Upton Jr.","- - -","149","492","539","117","79","15","3","20","64","61","37","1","155","2","6","1","6","27","8",".238","5015"
"Curtis Granderson","Mets","150","545","633","129","70","24","5","30","88","59","74","7","130","9","5","0","10","4","2",".237","4747"
"Jose Bautista","Blue Jays","116","423","517","99","52","24","1","22","68","69","87","1","103","3","4","0","21","2","2",".234","1887"
"Jason Heyward","Cubs","142","530","592","122","87","27","1","7","61","49","54","0","93","5","2","1","12","11","4",".230","4940"
"Alex Gordon","Royals","128","445","506","98","63","16","2","17","62","40","52","3","148","8","1","0","9","8","1",".220","5209"
