"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Jeanmar Gomez","Phillies","6.16","2.88","2.14","0.79","15.8 %","7.4 %","8.4 %",".286","1.46",".327","68.4 %","118","94","103","4.85","3.96","0.89","4.26","4.12","9033"
"Blaine Boyer","Brewers","3.55","2.32","1.53","0.55","9.2 %","6.0 %","3.2 %",".303","1.47",".325","73.6 %","92","92","118","3.95","3.96","-0.01","4.89","4.87","2237"
"John Axford","Athletics","8.22","4.11","2.00","0.82","20.8 %","10.4 %","10.4 %",".254","1.45",".311","75.9 %","98","96","98","3.97","4.01","-0.04","4.15","3.99","9059"
"Ryan Madson","Athletics","6.82","2.78","2.45","0.97","18.2 %","7.4 %","10.7 %",".254","1.28",".292","77.1 %","89","98","99","3.62","4.06","-0.44","4.20","4.06","1852"
"Jonathan Broxton","Cardinals","8.46","3.56","2.38","1.04","22.0 %","9.3 %","12.7 %",".224","1.25",".268","67.9 %","105","100","95","4.30","4.10","0.20","3.92","3.81","4759"
"Blake Wood","Reds","9.51","4.46","2.13","1.06","24.6 %","11.5 %","13.0 %",".248","1.43",".315","74.5 %","94","97","93","3.99","4.12","-0.13","3.84","3.78","1345"
"Jake Barrett","Diamondbacks","8.49","4.25","2.00","0.91","22.4 %","11.2 %","11.2 %",".215","1.26",".261","76.2 %","80","99","110","3.49","4.14","-0.65","4.54","4.15","13322"
"Nick Vincent","Mariners","9.70","2.24","4.33","1.64","26.3 %","6.1 %","20.2 %",".229","1.13",".271","80.2 %","92","99","93","3.73","4.16","-0.43","3.94","3.26","7555"
"Dustin McGowan","Marlins","8.46","4.43","1.91","0.94","22.6 %","11.8 %","10.8 %",".201","1.22",".241","78.2 %","69","105","99","2.82","4.19","-1.37","4.10","4.02","8600"
"Tyler Clippard","- - -","10.29","3.71","2.77","1.43","27.5 %","9.9 %","17.6 %",".230","1.27",".288","80.6 %","82","99","101","3.57","4.21","-0.64","4.24","3.56","5640"
"Drew Storen","- - -","8.36","2.26","3.69","1.22","21.1 %","5.7 %","15.4 %",".269","1.34",".320","69.5 %","124","99","96","5.23","4.21","1.01","4.06","3.51","6983"
"Carlos Estevez","Rockies","9.65","4.58","2.11","0.98","24.0 %","11.4 %","12.6 %",".235","1.42",".297","68.4 %","107","95","112","5.24","4.22","1.02","4.65","4.02","14542"
"Junichi Tazawa","Red Sox","9.79","2.54","3.86","1.63","26.0 %","6.7 %","19.2 %",".244","1.23",".292","79.0 %","94","101","89","4.17","4.23","-0.07","3.79","3.25","4079"
"Randall Delgado","Diamondbacks","8.16","4.32","1.89","0.96","20.2 %","10.7 %","9.5 %",".258","1.51",".309","73.2 %","101","102","115","4.44","4.24","0.20","4.74","4.37","5985"
"Vidal Nuno","Mariners","7.97","1.30","6.13","1.63","21.2 %","3.5 %","17.8 %",".285","1.28",".327","91.5 %","76","102","92","3.09","4.27","-1.18","3.90","3.46","9674"
"Fernando Salas","- - -","7.82","2.32","3.37","1.47","21.8 %","6.5 %","15.4 %",".230","1.11",".258","76.7 %","97","104","100","3.91","4.30","-0.39","4.24","3.72","4971"
"David Hernandez","Phillies","9.91","3.96","2.50","1.36","24.8 %","9.9 %","14.9 %",".267","1.50",".335","83.7 %","93","102","100","3.84","4.32","-0.48","4.11","3.75","4259"
"Jason Grilli","- - -","12.36","4.88","2.53","1.53","32.3 %","12.8 %","19.5 %",".203","1.29",".270","78.1 %","97","103","96","4.12","4.33","-0.21","4.05","3.39","521"
"Joakim Soria","Royals","9.18","3.65","2.52","1.35","23.2 %","9.2 %","14.0 %",".265","1.46",".323","80.0 %","94","104","90","4.05","4.36","-0.31","3.84","3.68","6941"
"Tony Watson","Pirates","7.71","2.66","2.90","1.33","21.3 %","7.4 %","14.0 %",".209","1.06",".232","80.3 %","76","109","102","3.06","4.37","-1.31","4.20","3.81","3132"
"Michael Tonkin","Twins","10.05","3.01","3.33","1.63","25.4 %","7.6 %","17.8 %",".278","1.45",".344","68.7 %","117","103","92","5.02","4.40","0.62","3.93","3.43","10315"
"Kevin Siegrist","Cardinals","9.63","3.79","2.54","1.46","26.6 %","10.5 %","16.1 %",".190","1.10",".221","89.1 %","68","108","103","2.77","4.43","-1.65","4.24","3.68","8180"
"Trevor Cahill","Cubs","9.35","4.90","1.91","1.04","23.6 %","12.4 %","11.2 %",".205","1.32",".252","83.8 %","72","107","95","2.97","4.45","-1.48","3.91","3.89","6249"
"Jesse Chavez","- - -","8.46","2.42","3.50","1.61","22.3 %","6.4 %","16.0 %",".271","1.33",".316","74.1 %","107","107","98","4.43","4.49","-0.06","4.10","3.59","5448"
"Neftali Feliz","Pirates","10.23","3.52","2.90","1.68","28.0 %","9.6 %","18.4 %",".204","1.14",".240","85.4 %","88","112","90","3.52","4.53","-1.00","3.72","3.36","18"
"Tony Cingrani","Reds","7.00","5.29","1.32","0.71","18.1 %","13.7 %","4.4 %",".234","1.44",".277","73.6 %","98","106","127","4.14","4.53","-0.38","5.27","5.01","12555"
"Travis Wood","Cubs","6.93","3.54","1.96","1.18","18.7 %","9.5 %","9.1 %",".198","1.13",".215","78.2 %","71","110","117","2.95","4.54","-1.59","4.83","4.46","9884"
"Kevin Quackenbush","Padres","6.34","3.32","1.91","1.21","16.6 %","8.7 %","7.9 %",".238","1.29",".260","76.0 %","98","112","122","3.92","4.59","-0.67","5.05","4.66","12360"
"Chien-Ming Wang","Royals","5.06","3.04","1.67","1.01","13.0 %","7.8 %","5.2 %",".284","1.46",".309","74.0 %","98","110","109","4.22","4.61","-0.39","4.65","4.57","2074"
